pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,random_trial.started,Fixation_2.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation_2.stopped,Probe_2.started,Key_Resp.started,random_trial.stopped,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,12,3,51,3,,,,,154.34211219998542,,154.32926149998093,154.34211219998542,155.3428116000141,155.3428116000141,155.3428116000141,155.3428116000141,155.3428116000141,156.342133499973,156.342133499973,156.67769510002108,z,1,0.321159599989187,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,13,0,52,0,,,,,156.6920104000019,,156.67978700000094,156.6920104000019,157.69289659999777,157.69289659999777,157.69289659999777,157.69289659999777,157.69289659999777,158.6921288999729,158.6921288999729,159.26093879999826,x,1,0.5539361000410281,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,13,1,53,1,,,,,159.2756240000017,,159.26310470001772,159.2756240000017,160.2758646000293,160.2758646000293,160.2758646000293,160.2758646000293,160.2758646000293,161.27559620002285,161.27559620002285,162.81054029997904,v,1,1.5184501999756321,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,13,2,54,2,,,,,162.8252722999896,,162.8123974999762,162.8252722999896,163.82646910002222,163.82646910002222,163.82646910002222,163.82646910002222,163.82646910002222,164.825396500004,164.825396500004,165.27880079997703,c,1,0.4509251000126824,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,13,3,55,3,,,,,165.29258940002182,,165.28082350001205,165.29258940002182,166.2923482999904,166.2923482999904,166.2923482999904,166.2923482999904,166.2923482999904,167.2922376000206,167.2922376000206,168.87763790000463,z,1,1.580250500002876,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,14,0,56,0,,,,,168.89217850001296,,168.87968289997661,168.89217850001296,169.89272730000084,169.89272730000084,169.89272730000084,169.89272730000084,169.89272730000084,170.89233100001002,170.89233100001002,171.51078980002785,x,1,0.6123458999791183,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,14,1,57,1,,,,,171.52757179999026,,171.5128204000066,171.52757179999026,172.525797099981,172.525797099981,172.525797099981,172.525797099981,172.5432349999901,173.5252804000047,173.5252804000047,174.8271891999757,v,1,1.2905761000001803,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,14,2,58,2,,,,,174.84202149999328,,174.82915070001036,174.84202149999328,175.84299049997935,175.84299049997935,175.84299049997935,175.84299049997935,175.84299049997935,176.8420348999789,176.8420348999789,177.39433129999088,c,1,0.549509999982547,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,14,3,59,3,,,,,177.4090202000225,,177.39621239999542,177.4090202000225,178.40928560000611,178.40928560000611,178.40928560000611,178.40928560000611,178.40928560000611,179.40899099997478,179.40899099997478,180.41087479999987,z,1,0.9989763000048697,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,15,0,60,0,,,,,180.42673509998713,,180.41269239998655,180.42673509998713,181.42581390001578,181.42581390001578,181.42581390001578,181.42581390001578,181.42581390001578,182.42633290000958,182.42633290000958,183.4271322999848,x,1,0.9895555000402965,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
